Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
19,Flamengo,Botafogo,1,Marquinhos,31.1,23,36,3,6,5,7,4,4,9,1,10,6,2,0,1.0,5.0,2,0
19,Flamengo,Botafogo,1,Deryk,26.8,15,25,1,3,5,6,2,4,2,1,3,4,2,0,4.0,2.0,1,0
19,Flamengo,Botafogo,1,Olivinha,26.4,13,34,2,5,2,7,3,3,6,0,6,0,2,0,2.0,3.0,2,0
19,Flamengo,Botafogo,1,Demétrio,12.9,10,18,2,4,2,3,0,0,0,0,0,1,1,1,1.0,1.0,1,0
19,Flamengo,Botafogo,1,Zach Graham,30.0,6,20,0,2,2,6,2,2,3,1,4,0,0,0,1.0,2.0,0,0
19,Flamengo,Botafogo,1,Mineiro,18.3,6,14,0,0,1,4,4,6,2,3,5,2,0,0,1.0,4.0,2,0
19,Flamengo,Botafogo,1,Balbi,19.7,5,17,1,3,0,3,2,2,1,1,2,3,0,0,4.0,2.0,2,0
19,Flamengo,Botafogo,1,Vargas,19.2,3,8,0,0,1,3,1,2,6,2,8,0,0,0,4.0,1.0,2,0
19,Flamengo,Botafogo,1,Black,4.8,0,5,0,1,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0,0
19,Flamengo,Botafogo,1,Matheusinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Flamengo,Botafogo,1,Pedro Nunes,10.9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0,0
19,Flamengo,Botafogo,1,Jhonatan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Flamengo,Botafogo,1,Equipe,0.0,81,177,9,24,18,40,18,23,30,12,42,17,8,1,21.0,20.0,13,0
19,Botafogo,Flamengo,2,Jamaal,29.3,19,27,2,4,4,5,5,5,1,2,3,5,0,0,2.0,7.0,2,0
19,Botafogo,Flamengo,2,Paulinho,26.8,15,38,1,3,3,11,6,7,4,1,5,4,0,0,0.0,4.0,3,0
19,Botafogo,Flamengo,2,Arthur,38.8,15,23,3,5,3,4,0,0,5,0,5,1,0,0,2.0,0.0,2,0
19,Botafogo,Flamengo,2,Lucas,22.8,15,33,3,7,3,5,0,0,7,0,7,0,0,2,3.0,2.0,2,0
19,Botafogo,Flamengo,2,Mogi,26.4,4,13,0,1,2,5,0,0,2,0,2,0,2,0,3.0,0.0,1,0
19,Botafogo,Flamengo,2,Cauê,22.0,2,11,0,1,1,4,0,0,1,0,1,1,0,0,4.0,5.0,3,0
19,Botafogo,Flamengo,2,Diego,12.4,2,4,0,0,0,1,2,2,3,1,4,0,1,0,1.0,1.0,0,0
19,Botafogo,Flamengo,2,Coelho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Botafogo,Flamengo,2,Jackson,6.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1,0
19,Botafogo,Flamengo,2,Du Sommer,14.9,0,8,0,0,0,4,0,0,0,0,0,0,0,0,4.0,0.0,0,0
19,Botafogo,Flamengo,2,Wesley,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Botafogo,Flamengo,2,Equipe,0.0,72,157,9,21,16,39,13,14,27,5,32,11,4,2,20.0,19.0,15,0
