Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
19,UNIFACISA,Paulistano,1,Barnes,33.1,30,55,6,13,6,8,0,0,1,0,1,4,0,0,2.0,1.0,2,0
19,UNIFACISA,Paulistano,1,Douglas Nunes,31.1,19,29,4,7,2,2,3,4,3,3,6,5,0,1,3.0,2.0,0,0
19,UNIFACISA,Paulistano,1,Gemerson,34.7,15,43,0,6,4,8,7,9,8,3,11,1,0,0,0.0,8.0,1,0
19,UNIFACISA,Paulistano,1,Gemadinha,13.8,10,19,2,5,1,1,2,2,0,0,0,1,0,0,3.0,1.0,1,0
19,UNIFACISA,Paulistano,1,Pepo Vidal,32.7,9,21,1,5,2,2,2,2,7,1,8,10,2,0,2.0,1.0,1,0
19,UNIFACISA,Paulistano,1,João Vitor,14.2,8,18,1,2,1,4,3,4,5,4,9,0,0,3,3.0,3.0,0,0
19,UNIFACISA,Paulistano,1,Miller,25.2,7,18,1,4,2,3,0,0,1,0,1,1,0,0,3.0,0.0,2,1
19,UNIFACISA,Paulistano,1,Dixson,15.3,3,10,1,2,0,2,0,0,2,1,3,0,0,0,0.0,1.0,1,0
19,UNIFACISA,Paulistano,1,Gabriel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,UNIFACISA,Paulistano,1,R. Piru,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,UNIFACISA,Paulistano,1,Pezão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,UNIFACISA,Paulistano,1,Antonio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,UNIFACISA,Paulistano,1,Equipe,0.0,101,213,16,44,18,30,17,21,30,15,45,22,2,4,16.0,17.0,8,1
19,Paulistano,UNIFACISA,2,Solano,32.2,19,44,4,8,2,7,3,6,3,1,4,6,1,0,2.0,5.0,0,0
19,Paulistano,UNIFACISA,2,Vitão,22.8,15,29,1,5,6,7,0,0,1,3,4,1,0,0,4.0,0.0,1,0
19,Paulistano,UNIFACISA,2,Eddy,30.3,15,34,3,8,3,5,0,0,2,2,4,1,0,0,4.0,0.0,0,0
19,Paulistano,UNIFACISA,2,Yago,34.6,13,30,3,8,2,3,0,0,7,1,8,6,0,0,1.0,4.0,0,0
19,Paulistano,UNIFACISA,2,D. Coleman,30.8,12,31,1,6,3,5,3,3,4,3,7,5,0,0,2.0,4.0,2,0
19,Paulistano,UNIFACISA,2,Dikembe,27.6,10,24,0,0,4,10,2,4,4,2,6,0,0,0,2.0,3.0,3,2
19,Paulistano,UNIFACISA,2,Maique,15.2,6,9,0,1,3,3,0,0,3,2,5,2,0,0,2.0,0.0,0,1
19,Paulistano,UNIFACISA,2,Anderson,6.6,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0.0,0.0,1,0
19,Paulistano,UNIFACISA,2,Daniel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Paulistano,UNIFACISA,2,Buiú,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Paulistano,UNIFACISA,2,Rafael,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
19,Paulistano,UNIFACISA,2,Equipe,0.0,90,205,12,36,23,42,8,13,26,15,41,22,1,0,17.0,16.0,7,3
