,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,95,72,fim_partida, 
1,4,00:14,VAS,95,72,1 - 100 0% - Equipe: 10, (1
2,4,00:14,VAS,95,71,FR, Marcellus
3,4,00:14,BRA,95,71,FC, (3 falta(s) - Equipe:7 falta(s))Lucas
4,4,00:14,VAS,95,71,3 - 66 7% - Equipe: 22, (2
5,4,00:14,VAS,95,69,BR, Gaúcho
6,4,00:14,BRA,95,69,ER, Pedro
7,4,00:20,VAS,95,69,11 - 81 8% - Equipe: 21, (9
8,4,00:22,VAS,95,67,RO, (5 rebote(s) - Equipe: 33 rebote(s))Murilo
9,4,00:24,VAS,95,67,7 - 42 9% - Equipe: 6, (3
10,4,00:34,VAS,95,67,RD, (4 rebote(s) - Equipe: 32 rebote(s))Murilo
11,4,00:36,BRA,95,67,2 - 0 0% - Equipe: 20, (0
12,4,00:39,VAS,95,67,10 - 80 0% - Equipe: 20, (8
13,4,00:43,VAS,95,65,RO, (3 rebote(s) - Equipe: 3rebote(s))Murilo
14,4,00:45,VAS,95,65,8 - 62 5% - Equipe: 19, (5
15,4,00:56,BRA,95,65,13 - 61 5% - Equipe: 20, (8
16,4,01:00,BRA,93,65,RO, (13 rebote(s) - Equipe: 40 rebote(s))(Duplo-Duplo)Lucas
17,4,01:02,BRA,93,65,2 - 0 0% - Equipe: 19, (0
18,4,01:21,VAS,93,65,AS,Murilo (2 assist√™ncia(s) - Equipe:5 assist√™ncia(s))
19,4,01:23,VAS,93,65,4 - 25 0% - Equipe: 6, (1
20,4,01:34,BRA,93,62,substituicao_entra,Pedro 
21,4,01:34,BRA,93,62,substituicao_sai,Deryk 
22,4,01:34,VAS,93,62,FR, Nezinho
23,4,01:34,BRA,93,62,FC, (falta(s) - Equipe:6 falta(s))Paulo
24,4,01:47,BRA,93,62,12 - 66 7% - Equipe: 15, (8
25,4,01:56,VAS,90,62,9 - 77 8% - Equipe: 19, (7
26,4,01:58,VAS,90,60,RO, (2 rebote(s) - Equipe: 30 rebote(s))Murilo
27,4,02:01,VAS,90,60,2 - 50 0% - Equipe: 18, (1
28,4,02:18,BRA,90,60,3 - 100 0% - Equipe: 19, (3
29,4,02:25,BRA,88,60,RD, (4 rebote(s) - Equipe: 39 rebote(s))Jefferson
30,4,02:28,BRA,88,60,TO, Deryk
31,4,02:31,VAS,88,60,6 - 16 7% - Equipe: 18, (1
32,4,02:35,VAS,88,60,BR, Marcellus
33,4,02:37,BRA,88,60,,
34,4,02:46,VAS,88,60,1 - 100 0% - Equipe: 9, (1
35,4,02:46,VAS,88,59,FR, Gaúcho
36,4,02:46,BRA,88,59,FC, (falta(s) - Equipe:5 falta(s))Jefferson
37,4,02:52,VAS,88,59,AS,Marcellus (4 assist√™ncia(s) - Equipe:4 assist√™ncia(s))
38,4,03:01,VAS,88,59,7 - 71 4% - Equipe: 18, (5
39,4,03:05,VAS,88,57,RD, (2 rebote(s) - Equipe: 29 rebote(s))Marcellus
40,4,03:05,BRA,88,57,5 - 40 0% - Equipe: 14, (2
41,4,03:05,BRA,88,57,RO, (3 rebote(s) - Equipe: 38 rebote(s))Jefferson
42,4,03:05,BRA,88,57,1 - 0 0% - Equipe: 18, (0
43,4,03:05,BRA,88,57,substituicao_entra,Paulo 
44,4,03:05,BRA,88,57,substituicao_sai,Fulvio 
45,4,03:13,VAS,88,57,AS,Marcellus (3 assist√™ncia(s) - Equipe:3 assist√™ncia(s))
46,4,03:17,VAS,88,57,8 - 75 0% - Equipe: 17, (6
47,4,03:35,BRA,88,55,AS,João (2 assist√™ncia(s) - Equipe: 22 assist√™ncia(s))
48,4,03:37,BRA,88,55,4 - 50 0% - Equipe: 14, (2
49,4,03:53,VAS,85,55,AS,Murilo (assist√™ncia(s) - Equipe:2 assist√™ncia(s))
50,4,03:56,VAS,85,55,6 - 50 0% - Equipe: 5, (3
51,4,04:17,BRA,85,52,3 - 100 0% - Equipe: 10, (3
52,4,04:17,VAS,84,52,substituicao_entra,Nezinho 
53,4,04:17,VAS,84,52,substituicao_entra,Murilo 
54,4,04:17,VAS,84,52,substituicao_entra,Marcellus 
55,4,04:17,VAS,84,52,substituicao_entra,Gaúcho 
56,4,04:17,VAS,84,52,substituicao_entra,Hélio 
57,4,04:17,BRA,84,52,substituicao_entra,Deryk 
58,4,04:17,BRA,84,52,substituicao_entra,Fulvio 
59,4,04:17,BRA,84,52,substituicao_entra,Lucas 
60,4,04:17,BRA,84,52,substituicao_entra,Jefferson 
61,4,04:17,BRA,84,52,substituicao_entra,João 
62,4,04:17,BRA,84,52,substituicao_sai,Lucas 
63,4,04:17,BRA,84,52,substituicao_sai,Giovannoni 
64,4,04:17,BRA,84,52,substituicao_sai,Fulvio 
65,4,04:17,BRA,84,52,substituicao_sai,Deryk 
66,4,04:17,BRA,84,52,substituicao_sai,Jefferson 
67,4,04:17,VAS,84,52,substituicao_sai,Nezinho 
68,4,04:17,VAS,84,52,substituicao_sai,Murilo 
69,4,04:17,VAS,84,52,substituicao_sai,Marcellus 
70,4,04:17,VAS,84,52,substituicao_sai,Gaúcho 
71,4,04:17,VAS,84,52,substituicao_sai,Hélio 
72,4,04:17,VAS,84,52,tempo_tecnico, Vasco da Gama
73,4,04:17,BRA,84,52,FR, Lucas
74,4,04:17,VAS,84,52,FC, (falta(s) - Equipe:5 falta(s))Hélio
75,4,04:17,BRA,84,52,AS,Fulvio (5 assist√™ncia(s) - Equipe: 2assist√™ncia(s))
76,4,04:17,BRA,84,52,12 - 58 3% - Equipe: 18, (7
77,4,04:27,VAS,82,52,AS,Marcellus (2 assist√™ncia(s) - Equipe:assist√™ncia(s))
78,4,04:33,VAS,82,52,2 - 100 0% - Equipe: 16, (2
79,4,04:50,BRA,82,50,AS,Fulvio (4 assist√™ncia(s) - Equipe: 20 assist√™ncia(s))
80,4,04:52,BRA,82,50,11 - 63 6% - Equipe: 13, (7
81,4,05:09,VAS,79,50,substituicao_entra,Gaúcho 
82,4,05:09,VAS,79,50,substituicao_sai,Drudi 
83,4,05:13,BRA,79,50,RD, (2 rebote(s) - Equipe: 37 rebote(s))Deryk
84,4,05:15,VAS,79,50,2 - 0 0% - Equipe: 4, (0
85,4,05:28,BRA,79,50,AS,Giovannoni (6 assist√™ncia(s) - Equipe:9 assist√™ncia(s))
86,4,05:30,BRA,79,50,3 - 100 0% - Equipe: 12, (3
87,4,06:02,VAS,76,50,ER, 
88,4,06:08,VAS,76,50,RO, Vasco da Gama
89,4,06:08,BRA,76,50,TO, Giovannoni
90,4,06:08,VAS,76,50,5 - 20 0% - Equipe: 15, (1
91,4,06:13,VAS,76,50,FR, Nezinho
92,4,06:13,BRA,76,50,FC, (3 falta(s) - Equipe:4 falta(s))Fulvio
93,4,06:27,BRA,76,50,substituicao_entra,Deryk 
94,4,06:27,BRA,76,50,substituicao_sai,Pilar 
95,4,06:27,VAS,76,50,substituicao_entra,Murilo 
96,4,06:27,VAS,76,50,substituicao_sai,Wagner 
97,4,06:28,BRA,76,50,AS,Fulvio (3 assist√™ncia(s) - Equipe:8 assist√™ncia(s))
98,4,06:31,BRA,76,50,3 - 33 3% - Equipe: 11, (1
99,4,06:45,BRA,73,50,RD, (12 rebote(s) - Equipe: 36 rebote(s))(Duplo-Duplo)Lucas
100,4,06:47,VAS,73,50,4 - 25 0% - Equipe: 15, (1
101,4,07:21,BRA,73,50,11 - 54 5% - Equipe: 17, (6
102,4,07:24,BRA,71,50,RO, (1rebote(s) - Equipe: 35 rebote(s))(Duplo-Duplo)Lucas
103,4,07:26,BRA,71,50,4 - 50 0% - Equipe: 16, (2
104,4,07:47,BRA,71,50,RD, (9 rebote(s) - Equipe: 34 rebote(s))Giovannoni
105,4,07:48,VAS,71,50,5 - 20 0% - Equipe: 15, (1
106,4,07:53,VAS,71,50,RD, (3 rebote(s) - Equipe: 27 rebote(s))Nezinho
107,4,07:53,BRA,71,50,1 - 0 0% - Equipe: 10, (0
108,4,07:53,BRA,71,50,substituicao_entra,Pilar 
109,4,07:53,BRA,71,50,substituicao_sai,Alex 
110,4,07:53,BRA,71,50,FR, Alex
111,4,07:53,VAS,71,50,FC, (3 falta(s) - Equipe:4 falta(s))Marcellus
112,4,08:07,VAS,71,50,3 - 33 3% - Equipe: 15, (1
113,4,08:10,VAS,71,48,FR, Hélio
114,4,08:10,BRA,71,48,FC, (2 falta(s) - Equipe:3 falta(s))Fulvio
115,4,08:10,BRA,71,48,substituicao_entra,Lucas 
116,4,08:10,BRA,71,48,substituicao_sai,João 
117,4,08:10,BRA,71,48,substituicao_entra,Fulvio 
118,4,08:10,BRA,71,48,substituicao_sai,Pilar 
119,4,08:22,BRA,71,48,BR, Alex
120,4,08:33,VAS,71,48,ER, Nezinho
121,4,08:36,VAS,71,48,RD, (2 rebote(s) - Equipe: 26 rebote(s))Nezinho
122,4,08:38,BRA,71,48,5 - 20 0% - Equipe: 16, (1
123,4,08:59,VAS,71,48,AS,Wagner (assist√™ncia(s) - Equipe:0 assist√™ncia(s))
124,4,09:03,VAS,71,48,1 - 100 0% - Equipe: 4, (1
125,4,09:17,BRA,71,45,4 - 75 0% - Equipe: 9, (3
126,4,09:17,BRA,70,45,3 - 66 7% - Equipe: 8, (2
127,4,09:17,BRA,69,45,FR, Pilar
128,4,09:17,VAS,69,45,FC, (2 falta(s) - Equipe:3 falta(s))Marcellus
129,4,09:43,VAS,69,45,1 - 100 0% - Equipe: 14, (1
130,4,10:00,NaN.,69,43,inicio_quarto, 
131,3,00:00,NaN.,69,43,fim_quarto, 
132,3,00:04,VAS,69,43,RO, (4 rebote(s) - Equipe: 25 rebote(s))Drudi
133,3,00:04,VAS,69,43,2 - 0 0% - Equipe: 13, (0
134,3,00:04,VAS,69,43,RO, (3 rebote(s) - Equipe: 24 rebote(s))Drudi
135,3,00:04,VAS,69,43,4 - 25 0% - Equipe: 3, (1
136,3,00:14,BRA,69,43,AS,Deryk (2 assist√™ncia(s) - Equipe:7 assist√™ncia(s))
137,3,00:18,BRA,69,43,2 - 100 0% - Equipe: 16, (2
138,3,00:23,BRA,67,43,BR, Deryk
139,3,00:26,VAS,67,43,,
140,3,00:40,BRA,67,43,2 - 100 0% - Equipe: 7, (2
141,3,00:40,BRA,66,43,1 - 100 0% - Equipe: 6, (1
142,3,00:40,BRA,65,43,FR, Jefferson
143,3,00:40,VAS,65,43,FC, (2 falta(s) - Equipe:2 falta(s))Márcio
144,3,00:40,BRA,65,43,BR, Jefferson
145,3,00:43,VAS,65,43,ER, Wagner
146,3,00:51,VAS,65,43,RD, (2 rebote(s) - Equipe: 23 rebote(s))Drudi
147,3,00:54,BRA,65,43,2 - 50 0% - Equipe: 10, (1
148,3,01:13,BRA,65,43,RD, (rebote(s) - Equipe: 33 rebote(s))João
149,3,01:15,VAS,65,43,2 - 0 0% - Equipe: 8, (0
150,3,01:15,VAS,65,43,1 - 0 0% - Equipe: 8, (0
151,3,01:15,VAS,65,43,FR, Wagner
152,3,01:15,BRA,65,43,FC, (4 falta(s) - Equipe:2 falta(s))João
153,3,01:16,VAS,65,43,RO, (3 rebote(s) - Equipe: 22 rebote(s))Palacios
154,3,01:18,VAS,65,43,3 - 33 3% - Equipe: 3, (1
155,3,01:30,VAS,65,43,substituicao_entra,Wagner 
156,3,01:30,VAS,65,43,substituicao_sai,B  Fiorotto 
157,3,01:30,VAS,65,43,substituicao_entra,Drudi 
158,3,01:30,VAS,65,43,substituicao_sai,Murilo 
159,3,01:33,VAS,65,43,RD, (rebote(s) - Equipe: 2rebote(s))Marcellus
160,3,01:35,BRA,65,43,1 - 0 0% - Equipe: 15, (0
161,3,01:47,BRA,65,43,RD, (8 rebote(s) - Equipe: 32 rebote(s))Giovannoni
162,3,01:49,VAS,65,43,2 - 0 0% - Equipe: 13, (0
163,3,02:05,BRA,65,43,10 - 60 0% - Equipe: 10, (6
164,3,02:13,VAS,62,43,AS,Marcellus (assist√™ncia(s) - Equipe: 9 assist√™ncia(s))
165,3,02:16,VAS,62,43,7 - 71 4% - Equipe: 13, (5
166,3,02:33,VAS,62,41,substituicao_entra,Marcellus 
167,3,02:33,VAS,62,41,substituicao_sai,Nezinho 
168,3,02:33,BRA,62,41,2 - 50 0% - Equipe: 5, (1
169,3,02:33,BRA,61,41,1 - 0 0% - Equipe: 4, (0
