,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,80,97,fim_partida, 
1,4,00:15,CAX,80,97,RD, (6 rebote(s) - Equipe: 27 rebote(s))Marcão
2,4,00:15,FLA,80,97,3 - 33 3% - Equipe: 25, (1
3,4,00:25,FLA,80,97,RD, (12 rebote(s) - Equipe: 46 rebote(s))(Duplo-Duplo)Olivinha
4,4,00:25,CAX,80,97,2 - 0 0% - Equipe: 11, (0
5,4,00:37,FLA,80,97,12 - 83 3% - Equipe: 25, (10
6,4,00:37,FLA,80,95,AS,Pedro (assistência(s) - Equipe: 24 assistência(s))
7,4,00:46,CAX,80,95,3 - 100 0% - Equipe: 11, (3
8,4,00:46,CAX,79,95,3 - 66 7% - Equipe: 18, (2
9,4,00:46,CAX,77,95,FR, Marcão
10,4,00:46,FLA,77,95,FC, (falta(s) - Equipe:7 falta(s))Danielzinho
11,4,00:46,FLA,77,95,substituicao_entra,Danielzinho 
12,4,00:46,FLA,77,95,substituicao_sai,Marquinhos 
13,4,00:46,FLA,77,95,substituicao_entra,Pedro 
14,4,00:46,FLA,77,95,substituicao_sai,Marcelinho 
15,4,00:46,CAX,77,95,tempo_tecnico, Caxias do Sul
16,4,00:46,FLA,77,95,10 - 100 0% - Equipe: 26, (10
17,4,00:46,FLA,77,94,9 - 100 0% - Equipe: 25, (9
18,4,00:46,FLA,77,93,FR, Marquinhos
19,4,00:46,CAX,77,93,FC, (3 falta(s) - Equipe: 24 falta(s))Alex
20,4,00:55,FLA,77,93,BR, Gegê
21,4,00:55,CAX,77,93,ER, Gustavinho
22,4,01:01,FLA,77,93,8 - 100 0% - Equipe: 24, (8
23,4,01:01,FLA,77,92,7 - 100 0% - Equipe: 23, (7
24,4,01:01,CAX,77,91,substituicao_entra,Gustavinho 
25,4,01:01,CAX,77,91,substituicao_sai,Vinícius 
26,4,01:01,FLA,77,91,FR, Marquinhos
27,4,01:01,CAX,77,91,FC, (5 falta(s) - Equipe: 23 falta(s))Vinícius
28,4,01:12,CAX,77,91,2 - 100 0% - Equipe: 17, (2
29,4,01:12,CAX,75,91,RO, (3 rebote(s) - Equipe: 26 rebote(s))Diego
30,4,01:12,CAX,75,91,6 - 50 0% - Equipe: 11, (3
31,4,01:20,FLA,75,91,11 - 81 8% - Equipe: 24, (9
32,4,01:20,FLA,75,89,AS,Gegê (assistência(s) - Equipe: 23 assistência(s))
33,4,01:27,CAX,75,89,2 - 100 0% - Equipe: 10, (2
34,4,01:27,CAX,74,89,1 - 100 0% - Equipe: 9, (1
35,4,01:27,CAX,73,89,FR, Marcão
36,4,01:27,FLA,73,89,FC, (3 falta(s) - Equipe:6 falta(s))JP Batista
37,4,01:45,FLA,73,89,2 - 50 0% - Equipe: 23, (1
38,4,01:45,FLA,73,87,AS,JP Batista (4 assistência(s) - Equipe: 22 assistência(s))
39,4,02:09,CAX,73,87,5 - 60 0% - Equipe: 11, (3
40,4,02:09,CAX,70,87,AS,Vinícius (5 assistência(s) - Equipe: 2assistência(s))
41,4,02:17,CAX,70,87,RO, (3 rebote(s) - Equipe: 25 rebote(s))Vinícius
42,4,02:17,CAX,70,87,7 - 57 1% - Equipe: 10, (4
43,4,02:23,FLA,70,87,substituicao_entra,Gegê 
44,4,02:23,FLA,70,87,substituicao_sai,Ronald Ramon 
45,4,02:23,FLA,70,87,2 - 100 0% - Equipe: 22, (2
46,4,02:23,FLA,70,86,1 - 100 0% - Equipe: 21, (1
47,4,02:23,FLA,70,85,substituicao_entra,Ronald Ramon 
48,4,02:23,FLA,70,85,substituicao_sai,Gegê 
49,4,02:23,CAX,70,85,substituicao_entra,Marcão 
50,4,02:23,CAX,70,85,substituicao_sai,Dida 
51,4,02:23,FLA,70,85,substituicao_entra,Gegê 
52,4,02:23,FLA,70,85,substituicao_sai,Ronald Ramon 
53,4,02:23,FLA,70,85,FR, Ronald Ramon
54,4,02:23,CAX,70,85,FC, (2 falta(s) - Equipe: 22 falta(s))Alex
55,4,02:37,FLA,70,85,RO, (1rebote(s) - Equipe: 45 rebote(s))(Duplo-Duplo)Olivinha
56,4,02:37,FLA,70,85,12 - 41 7% - Equipe: 22, (5
57,4,02:53,CAX,70,85,6 - 66 7% - Equipe: 10, (4
58,4,02:53,CAX,67,85,AS,Diego (2 assistência(s) - Equipe: 20 assistência(s))
59,4,02:56,CAX,67,85,BR, Dida
60,4,02:56,FLA,67,85,ER, Ronald Ramon
61,4,03:00,CAX,67,85,5 - 80 0% - Equipe: 8, (4
62,4,03:05,CAX,66,85,6 - 66 7% - Equipe: 16, (4
63,4,03:05,CAX,64,85,FR, Alex
64,4,03:05,FLA,64,85,FC, (falta(s) - Equipe:5 falta(s))Marcelinho
65,4,03:28,FLA,64,85,10 - 80 0% - Equipe: 22, (8
66,4,03:33,FLA,64,83,RO, (10 rebote(s) - Equipe: 44 rebote(s))(Duplo-Duplo)Olivinha
67,4,03:33,FLA,64,83,9 - 77 8% - Equipe: 21, (7
68,4,03:41,FLA,64,83,RO, (9 rebote(s) - Equipe: 43 rebote(s))Olivinha
69,4,03:41,FLA,64,83,11 - 45 5% - Equipe: 21, (5
70,4,03:54,FLA,64,83,RD, (rebote(s) - Equipe: 42 rebote(s))Ronald Ramon
71,4,03:54,CAX,64,83,4 - 25 0% - Equipe: 15, (1
72,4,04:07,CAX,64,83,BR, Guto
73,4,04:07,FLA,64,83,ER, Ronald Ramon
74,4,04:25,CAX,64,83,4 - 50 0% - Equipe: 9, (2
75,4,04:25,CAX,61,83,AS,Alex (3 assistência(s) - Equipe:9 assistência(s))
76,4,04:35,CAX,61,83,4 - 75 0% - Equipe: 7, (3
77,4,04:35,CAX,60,83,3 - 66 7% - Equipe: 6, (2
78,4,04:35,FLA,60,83,substituicao_entra,JP Batista 
79,4,04:35,FLA,60,83,substituicao_sai,Rafael Mineiro 
80,4,04:35,CAX,60,83,FR, Alex
81,4,04:35,FLA,60,83,FC_A, (2 falta(s) - Equipe:4 falta(s))Rafael Mineiro
82,4,04:43,CAX,60,83,RD, (2 rebote(s) - Equipe: 24 rebote(s))Alex
83,4,04:43,FLA,60,83,2 - 0 0% - Equipe: 7, (0
84,4,05:12,CAX,60,83,5 - 60 0% - Equipe: 8, (3
85,4,05:12,CAX,57,83,AS,Alex (2 assistência(s) - Equipe:8 assistência(s))
86,4,05:26,FLA,57,83,6 - 100 0% - Equipe: 20, (6
87,4,05:26,FLA,57,82,5 - 100 0% - Equipe: 19, (5
88,4,05:26,FLA,57,81,FR, Olivinha
89,4,05:26,CAX,57,81,FC, (4 falta(s) - Equipe: 2falta(s))Vinícius
90,4,05:42,FLA,57,81,RD, (5 rebote(s) - Equipe: 4rebote(s))Marquinhos
91,4,05:42,CAX,57,81,3 - 33 3% - Equipe: 7, (1
92,4,05:57,FLA,57,81,4 - 50 0% - Equipe: 21, (2
93,4,05:57,FLA,57,79,AS,Ronald Ramon (3 assistência(s) - Equipe: 2assistência(s))
94,4,06:03,FLA,57,79,FR, Olivinha
95,4,06:03,CAX,57,79,FC, (4 falta(s) - Equipe: 20 falta(s))Diego
96,4,06:20,CAX,57,79,5 - 60 0% - Equipe: 15, (3
97,4,06:20,CAX,55,79,AS,Vinícius (4 assistência(s) - Equipe:7 assistência(s))
98,4,06:36,FLA,55,79,4 - 25 0% - Equipe: 7, (1
99,4,06:36,FLA,55,76,AS,Ronald Ramon (2 assistência(s) - Equipe: 20 assistência(s))
100,4,06:50,CAX,55,76,4 - 50 0% - Equipe: 14, (2
101,4,07:04,FLA,53,76,4 - 100 0% - Equipe: 18, (4
102,4,07:04,FLA,53,75,3 - 100 0% - Equipe: 17, (3
103,4,07:04,FLA,53,74,FR, Rafael Mineiro
104,4,07:04,CAX,53,74,FC, (falta(s) - Equipe:9 falta(s))Guto
105,4,07:13,FLA,53,74,FR, Marquinhos
106,4,07:13,CAX,53,74,FC, (falta(s) - Equipe:8 falta(s))Alex
107,4,07:21,FLA,53,74,substituicao_entra,Ronald Ramon 
108,4,07:21,FLA,53,74,substituicao_sai,Rafa Luz 
109,4,07:21,CAX,53,74,substituicao_entra,Diego 
110,4,07:21,CAX,53,74,substituicao_sai,R  Stabile 
111,4,07:30,FLA,53,74,tempo_tecnico, Flamengo
112,4,07:30,CAX,53,74,6 - 66 7% - Equipe: 13, (4
113,4,07:30,CAX,51,74,AS,Vinícius (3 assistência(s) - Equipe:6 assistência(s))
114,4,07:34,CAX,51,74,BR, R  Stabile
115,4,07:34,FLA,51,74,ER, Rafa Luz
116,4,07:48,CAX,51,74,4 - 50 0% - Equipe: 7, (2
117,4,07:48,CAX,48,74,AS,Vinícius (2 assistência(s) - Equipe:5 assistência(s))
118,4,07:55,CAX,48,74,RD, (3 rebote(s) - Equipe: 23 rebote(s))Dida
119,4,07:55,FLA,48,74,2 - 0 0% - Equipe: 20, (0
120,4,08:00,FLA,48,74,RO, (4 rebote(s) - Equipe: 40 rebote(s))Marquinhos
121,4,08:00,FLA,48,74,7 - 28 6% - Equipe: 6, (2
