,Quarto,Tempo,Time,placar_casa,placar_visitante,Indicador,Nomes
0,4,00:00,NaN.,86,63,fim_partida, 
1,4,00:08,RCB,86,63,4 - 100 0% - Equipe: 15, (4
2,4,00:08,RCB,85,63,3 - 100 0% - Equipe: 14, (3
3,4,00:08,RCB,84,63,FR, F  Penna
4,4,00:08,VIT,84,63,FC, (3 falta(s) - Equipe:7 falta(s))Taddei
5,4,00:18,RCB,84,63,BR, F  Penna
6,4,00:18,VIT,84,63,ER, Jairo
7,4,00:30,RCB,84,63,substituicao_entra,Nicolas 
8,4,00:30,RCB,84,63,substituicao_sai,Gui Deodato 
9,4,00:30,RCB,84,63,6 - 100 0% - Equipe: 13, (6
10,4,00:30,RCB,83,63,5 - 100 0% - Equipe: 12, (5
11,4,00:30,VIT,82,63,substituicao_entra,Taddei 
12,4,00:30,VIT,82,63,substituicao_sai,Kojo 
13,4,00:30,RCB,82,63,FR, Gui Deodato
14,4,00:30,VIT,82,63,FC, (3 falta(s) - Equipe:6 falta(s))Edu
15,4,00:47,RCB,82,63,6 - 66 7% - Equipe: 9, (4
16,4,00:47,RCB,79,63,AS,F  Penna (4 assistência(s) - Equipe: 22 assistência(s))
17,4,01:03,RCB,79,63,RD, (2 rebote(s) - Equipe: 34 rebote(s))Pastor
18,4,01:03,VIT,79,63,11 - 36 4% - Equipe: 13, (4
19,4,01:14,RCB,79,63,7 - 85 7% - Equipe: 22, (6
20,4,01:14,RCB,77,63,AS,F  Penna (3 assistência(s) - Equipe: 2assistência(s))
21,4,01:14,RCB,77,63,FR, F  Penna
22,4,01:14,VIT,77,63,FC, (falta(s) - Equipe:5 falta(s))Jairo
23,4,01:28,VIT,77,63,2 - 50 0% - Equipe: 7, (1
24,4,01:28,VIT,77,60,AS,Edu (2 assistência(s) - Equipe: 6 assistência(s))
25,4,01:38,VIT,77,60,substituicao_sai,Feliz 
26,4,01:38,VIT,77,60,substituicao_entra,Edu 
27,4,01:48,RCB,77,60,2 - 50 0% - Equipe: 21, (1
28,4,01:48,RCB,75,60,AS,Teichmann (5 assistência(s) - Equipe: 20 assistência(s))
29,4,02:08,VIT,75,60,10 - 40 0% - Equipe: 13, (4
30,4,02:21,VIT,75,58,RD, (2 rebote(s) - Equipe: 28 rebote(s))Renan
31,4,02:21,RCB,75,58,5 - 60 0% - Equipe: 8, (3
32,4,02:35,VIT,75,58,7 - 42 9% - Equipe: 12, (3
33,4,02:40,VIT,75,56,RO, (5 rebote(s) - Equipe: 27 rebote(s))Feliz
34,4,02:40,VIT,75,56,9 - 33 3% - Equipe: 11, (3
35,4,02:44,VIT,75,56,RO, (7 rebote(s) - Equipe: 26 rebote(s))Kojo
36,4,02:44,VIT,75,56,4 - 50 0% - Equipe: 11, (2
37,4,03:02,RCB,75,56,1 - 100 0% - Equipe: 8, (1
38,4,03:02,RCB,72,56,AS,Tatu (4 assistência(s) - Equipe:9 assistência(s))
39,4,03:09,RCB,72,56,FR, Gui Deodato
40,4,03:09,VIT,72,56,FC, (2 falta(s) - Equipe:4 falta(s))Kojo
41,4,03:27,VIT,72,56,4 - 25 0% - Equipe: 16, (1
42,4,03:27,VIT,72,56,3 - 33 3% - Equipe: 16, (1
43,4,03:27,RCB,72,55,substituicao_sai,Daniel Alemão 
44,4,03:27,RCB,72,55,substituicao_entra,Teichmann 
45,4,03:27,VIT,72,55,FR, Feliz
46,4,03:27,RCB,72,55,FC, (5 falta(s) - Equipe: 20 falta(s))Daniel Alemão
47,4,03:34,RCB,72,55,ER, F  Penna
48,4,04:16,VIT,72,55,tempo_tecnico, Vitória
49,4,04:16,VIT,72,55,substituicao_entra,Renan 
50,4,04:16,VIT,72,55,substituicao_sai,Calvo 
51,4,04:16,VIT,72,55,substituicao_entra,Jairo 
52,4,04:16,VIT,72,55,substituicao_sai,Jason Smith 
53,4,04:19,VIT,72,55,ER, Calvo
54,4,04:28,VIT,72,55,BR, Jason Smith
55,4,04:28,RCB,72,55,ER, Pastor
56,4,04:28,RCB,72,55,RO, (rebote(s) - Equipe: 33 rebote(s))Pastor
57,4,04:28,RCB,72,55,4 - 75 0% - Equipe: 7, (3
58,4,04:35,VIT,72,55,ER, 
59,4,04:52,VIT,72,55,RO, (6 rebote(s) - Equipe: 25 rebote(s))Kojo
60,4,04:52,VIT,72,55,1 - 0 0% - Equipe: 6, (0
61,4,04:59,VIT,72,55,RO, (rebote(s) - Equipe: 24 rebote(s))Rafinha
62,4,04:59,VIT,72,55,7 - 28 6% - Equipe: 11, (2
63,4,05:36,RCB,72,55,2 - 100 0% - Equipe: 11, (2
64,4,05:36,RCB,71,55,1 - 100 0% - Equipe: 10, (1
65,4,05:36,RCB,70,55,FR, F  Penna
66,4,05:36,VIT,70,55,FC, (2 falta(s) - Equipe:3 falta(s))Feliz
67,4,05:36,RCB,70,55,RO, (3 rebote(s) - Equipe: 32 rebote(s))F  Penna
68,4,05:36,RCB,70,55,7 - 71 4% - Equipe: 20, (5
69,4,05:36,VIT,70,55,3 - 66 7% - Equipe: 15, (2
70,4,05:36,VIT,70,54,2 - 50 0% - Equipe: 14, (1
71,4,05:36,VIT,70,53,FR, Kojo
72,4,05:36,RCB,70,53,FC, (4 falta(s) - Equipe:9 falta(s))Daniel Alemão
