,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Caleb Brown,30.1,23,6,34,9,1,3,5,6,10,13,1,3,4,2,2,0,1,13,1,0,14
1,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Tyrone Curnell,24.6,22,9,34,14,3,4,6,10,1,2,0,1,1,1,5,0,3,2,2,2,17
2,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Guto,23.0,13,4,32,11,3,8,1,3,2,2,1,1,2,0,0,0,1,2,1,0,12
3,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Wiggins,28.4,13,5,24,9,0,1,5,8,3,5,4,4,8,1,0,1,2,4,3,1,10
4,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Tiagão,28.6,10,4,19,8,2,3,2,5,0,0,0,2,2,1,4,0,3,0,1,0,9
5,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Pecos,14.0,6,3,11,5,0,1,3,4,0,0,1,2,3,2,0,0,0,1,1,0,5
6,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Coloneze,25.7,5,2,8,3,0,0,2,3,1,2,1,3,4,1,1,0,4,2,2,0,5
7,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Vinicius,19.2,2,1,7,3,0,1,1,2,0,0,3,0,3,2,0,1,5,0,0,1,0
8,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Jordan,6.6,2,1,2,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1
9,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Scaglia,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Rod,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,W. Sena,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,Palmeiras,Minas,16/02/2013 18:00,24ª RODADA,2º TURNO,casa,vitória,9,Equipe,200.0,96,35,171,63,9,21,26,42,17,24,11,17,28,10,12,3,20,24,11,4,73
0,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Betinho,35.8,27,9,48,17,2,7,7,10,7,7,0,3,3,3,1,0,4,6,4,0,24
1,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Beal,37.6,22,6,43,14,1,4,5,10,9,11,1,2,3,6,1,0,3,7,1,0,18
2,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Renato Lamas,24.0,14,6,26,11,1,2,5,9,1,2,1,0,1,1,0,0,4,2,3,0,14
3,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Mineiro,22.2,8,4,16,8,0,0,4,8,0,0,3,4,7,1,0,0,2,2,1,1,6
4,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,D. Nunes,31.4,7,2,18,6,1,4,1,2,2,2,1,5,6,1,0,1,2,2,0,0,6
5,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Crosby,21.0,5,2,10,4,1,2,1,2,0,0,2,3,5,1,1,0,3,0,3,0,5
6,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Bruno,0.5,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1
7,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Coelho,17.2,2,1,6,3,0,0,1,3,0,0,1,0,1,0,0,0,5,0,3,0,5
8,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Ansaloni,4.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
9,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Mark Borders,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Demétrio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Fuzaro,6.4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0
12,2012,Minas,Palmeiras,16/02/2013 18:00,24ª RODADA,2º TURNO,fora,derrota,-9,Equipe,200.0,87,30,169,63,6,19,24,44,21,24,10,18,28,13,3,1,25,20,16,1,79
