,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Xande,32.7,22,5,35,10,1,3,4,7,11,12,1,3,4,4,0,0,2,6,1,0,15
1,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Simmons,40.0,19,6,44,14,2,7,4,7,5,9,1,1,2,2,4,0,3,8,4,1,21
2,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Jay Parker,35.7,15,3,37,10,1,8,2,2,8,9,1,4,5,1,4,0,1,4,1,0,14
3,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Casé,33.6,14,5,33,12,4,9,1,3,0,0,0,6,6,1,1,0,1,0,4,1,16
4,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Daniel Filé,24.0,8,3,10,4,0,0,3,4,2,2,4,1,5,0,1,0,5,1,0,1,1
5,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Éder Araújo,22.6,4,1,11,4,0,1,1,3,2,2,1,3,4,0,0,0,2,1,2,0,6
6,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Fernando Reis,7.3,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,2,0,3
7,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Wellington,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Taets,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Gustavo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Jemmott,4.2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,2
11,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Mateus,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,Espírito Santo,Minas,20/12/2012 20:00,9ª RODADA,1º TURNO,casa,derrota,-2,Equipe,200.0,82,23,174,56,8,28,15,28,28,34,8,18,26,8,11,0,19,20,15,3,77
0,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,Beal,30.8,20,7,28,9,6,7,1,2,0,3,0,2,2,0,2,0,1,5,3,0,13
1,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,Betinho,27.9,18,6,30,10,0,3,6,7,6,7,0,0,0,2,4,0,4,8,1,0,14
2,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,Mark Borders,34.1,16,6,21,8,4,5,2,3,0,0,1,3,4,6,0,0,2,1,4,0,11
3,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,Mineiro,25.7,10,4,16,7,0,0,4,7,2,2,1,5,6,0,2,0,3,2,5,2,12
4,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,Renato Lamas,25.4,7,2,22,8,1,4,1,4,2,2,0,2,2,3,1,0,4,1,5,0,14
5,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,D. Nunes,23.8,5,2,12,5,1,2,1,3,0,0,0,1,1,1,0,0,4,0,0,0,5
6,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,Demétrio,12.4,4,2,8,3,0,0,2,3,0,2,0,2,2,0,1,0,2,0,1,0,5
7,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,Ansaloni,6.8,2,1,4,2,0,0,1,2,0,0,1,1,2,0,0,0,1,1,0,0,1
8,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,Coelho,5.9,2,1,2,1,0,0,1,1,0,0,1,1,2,1,1,0,0,0,1,0,1
9,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,Bruno,7.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
10,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,Tobias,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,Minas,Espírito Santo,20/12/2012 20:00,9ª RODADA,1º TURNO,fora,vitória,2,Equipe,200.0,84,31,143,53,12,21,19,32,10,16,4,18,22,13,11,0,21,18,21,2,76
