Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
18,Corinthians,São José,1,Fuller,30.6,25,52,1,6,7,12,8,10,3,0,3,4,1,0,2.0,9.0,3,0
18,Corinthians,São José,1,Giovannoni,29.4,12,34,0,2,3,10,6,8,5,4,9,1,0,0,2.0,4.0,0,0
18,Corinthians,São José,1,Humberto,24.9,11,25,2,5,1,3,3,4,2,2,4,2,0,0,4.0,4.0,1,0
18,Corinthians,São José,1,Teichmann,26.1,8,15,0,0,3,4,2,7,12,7,19,6,1,0,5.0,5.0,1,2
18,Corinthians,São José,1,Aguiar,21.6,7,23,1,3,1,6,2,2,1,0,1,0,0,0,3.0,3.0,2,0
18,Corinthians,São José,1,Gustavinho,25.1,6,16,0,2,3,5,0,0,1,0,1,2,0,0,3.0,1.0,1,0
18,Corinthians,São José,1,Nicolas Ronsini,15.2,5,6,0,0,2,2,1,2,0,0,0,4,0,0,1.0,1.0,0,0
18,Corinthians,São José,1,Abner,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,Corinthians,São José,1,Douglas Santos,10.1,0,4,0,0,0,2,0,0,1,0,1,1,0,0,3.0,0.0,2,0
18,Corinthians,São José,1,Shilton,13.7,0,6,0,0,0,2,0,2,3,1,4,2,0,0,3.0,1.0,1,0
18,Corinthians,São José,1,Gui Bento,3.4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1,0
18,Corinthians,São José,1,Equipe,0.0,74,184,4,19,20,46,22,35,28,16,44,22,2,0,27.0,29.0,13,2
18,São José,Corinthians,2,Douglas Nunes,31.6,16,32,1,3,3,8,7,7,7,3,10,2,0,0,3.0,5.0,3,0
18,São José,Corinthians,2,Pedro,33.6,16,21,2,2,3,5,4,5,1,1,2,1,1,0,5.0,5.0,0,0
18,São José,Corinthians,2,Márcio,30.2,14,32,1,4,3,7,5,6,4,1,5,2,0,0,1.0,4.0,1,0
18,São José,Corinthians,2,Mineiro,28.3,11,18,0,0,4,7,3,4,10,3,13,0,1,1,5.0,5.0,2,0
18,São José,Corinthians,2,Sahdi,34.9,9,36,1,8,2,5,2,2,5,0,5,13,1,0,2.0,3.0,2,0
18,São José,Corinthians,2,Schneider,13.6,8,17,0,1,4,7,0,0,1,0,1,0,0,0,3.0,0.0,0,0
18,São José,Corinthians,2,Pastor,12.8,8,12,0,1,3,3,2,3,1,0,1,2,3,0,3.0,2.0,1,1
18,São José,Corinthians,2,Panunzio,5.7,0,5,0,1,0,1,0,0,2,1,3,0,0,0,4.0,0.0,1,0
18,São José,Corinthians,2,Coimbra,7.4,0,2,0,0,0,0,0,2,1,0,1,0,0,0,4.0,2.0,3,0
18,São José,Corinthians,2,Conceição,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,São José,Corinthians,2,Guirro,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
18,São José,Corinthians,2,Equipe,0.0,82,175,5,20,22,43,23,29,32,9,41,20,6,1,30.0,26.0,14,1
