Temporada,time,adversário,casa/fora,Jogador,Min,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
17,Caxias do Sul,Vasco da Gama,1,Cauê,36.6,22,39,2,5,6,9,4,6,3,1,4,3,1,0,1.0,7.0,3,0
17,Caxias do Sul,Vasco da Gama,1,Cafferata,29.4,13,24,1,2,3,7,4,4,3,0,3,4,4,0,3.0,3.0,2,0
17,Caxias do Sul,Vasco da Gama,1,Paranhos,23.5,12,24,0,0,6,12,0,0,5,8,13,3,0,0,4.0,0.0,3,0
17,Caxias do Sul,Vasco da Gama,1,Vinicius,23.8,12,20,0,1,4,5,4,7,6,1,7,1,1,1,1.0,7.0,1,1
17,Caxias do Sul,Vasco da Gama,1,Alex,34.7,10,31,2,7,2,5,0,0,1,1,2,2,0,0,3.0,0.0,0,1
17,Caxias do Sul,Vasco da Gama,1,Cauê,22.3,8,17,0,3,4,4,0,0,2,1,3,1,2,0,4.0,1.0,1,0
17,Caxias do Sul,Vasco da Gama,1,Pedro,24.3,4,16,0,2,1,4,2,2,0,2,2,2,2,0,2.0,2.0,0,0
17,Caxias do Sul,Vasco da Gama,1,Jonas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Caxias do Sul,Vasco da Gama,1,Buboltz,4.8,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,0
17,Caxias do Sul,Vasco da Gama,1,Jonathan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Caxias do Sul,Vasco da Gama,1,Dida,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Caxias do Sul,Vasco da Gama,1,Romanzini,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Caxias do Sul,Vasco da Gama,1,Equipe,0.0,81,173,5,20,26,47,14,19,24,16,40,16,10,1,19.0,20.0,11,2
17,Vasco da Gama,Caxias do Sul,2,Giovannoni,35.1,21,36,2,5,6,9,3,3,1,0,1,4,2,0,3.0,5.0,3,0
17,Vasco da Gama,Caxias do Sul,2,Dedé,29.2,13,28,4,8,0,1,1,2,5,0,5,2,1,0,2.0,4.0,1,0
17,Vasco da Gama,Caxias do Sul,2,Gustavo,36.5,9,14,2,2,1,3,1,2,1,1,2,1,4,0,2.0,3.0,3,0
17,Vasco da Gama,Caxias do Sul,2,Bruninho,22.5,8,13,0,1,4,5,0,0,1,0,1,4,1,0,4.0,1.0,1,0
17,Vasco da Gama,Caxias do Sul,2,Lucas,24.7,8,18,0,2,4,6,0,0,2,2,4,0,0,0,4.0,0.0,3,0
17,Vasco da Gama,Caxias do Sul,2,Hayes,25.4,7,30,0,4,2,6,3,6,4,3,7,1,0,0,3.0,4.0,2,0
17,Vasco da Gama,Caxias do Sul,2,Renato,26.7,3,9,0,1,1,2,1,2,6,0,6,2,0,1,2.0,1.0,3,0
17,Vasco da Gama,Caxias do Sul,2,Nezinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Caxias do Sul,2,David Jackson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Caxias do Sul,2,L. Felipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Caxias do Sul,2,Fúlvio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,Vasco da Gama,Caxias do Sul,2,Equipe,0.0,69,148,8,23,18,32,9,15,22,7,29,14,8,1,20.0,18.0,17,0
